epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.364,1.40908,0.94444,1,0.40301,0.000330128,0.000330128,0.000330128
2,39.8953,0.56257,1,1,0.05634,0.000532096,0.000532096,0.000532096
3,56.2098,0.44613,0.98611,1,0.07163,0.000602064,0.000602064,0.000602064
4,73.0556,0.35143,1,1,0.01863,0.000406,0.000406,0.000406
5,90.163,0.31223,1,1,0.01059,0.000208,0.000208,0.000208
